experiment_group,task,target,feature_set,model,transform,n_features,n_train,n_test,original_mae,original_rmse,original_r2,original_pearson_r,original_spearman_r,original_bias,modelscale_rmse,modelscale_r2,modelscale_spearman_r
AutoGluon diagnostic: S2 only / Context only,regression,BOD,Context only,WeightedEnsemble_L2,raw,107,276,114,0.537530387493602,0.800352182037899,0.1356102562252806,0.4461740092892832,0.4499436402810807,-0.2164615836059838,0.800352182037899,0.1356102562252806,0.4499436402810807
AutoGluon main: S2 + Context,regression,BOD,S2 + Context,WeightedEnsemble_L2,raw,139,276,114,0.5171846795500371,0.7580057379789433,0.2246597589274209,0.4984611348299185,0.4935156264370939,-0.1204420802886026,0.7580057379789433,0.2246597589274209,0.4935156264370939
AutoGluon diagnostic: S2 only / Context only,regression,BOD,S2 only,WeightedEnsemble_L3,raw,32,276,114,0.5066790119597787,0.7256010688424848,0.2895342176428532,0.5484611024457172,0.5170623496819264,-0.0699117674116502,0.7256010688424848,0.2895342176428532,0.5170623496819264
AutoGluon diagnostic: S2 only / Context only,regression,DO,Context only,WeightedEnsemble_L3,raw,107,276,114,0.7873532844844617,0.9745706959743398,0.3041415458007954,0.6340304084179436,0.5493155876235528,-0.2394091275700351,0.9745706959743398,0.3041415458007954,0.5493155876235528
AutoGluon main: S2 + Context,regression,DO,S2 + Context,WeightedEnsemble_L3,raw,139,276,114,0.7233242786139773,0.8928073348720686,0.416004218596406,0.6729754583687672,0.5954247486608195,-0.1790168795669288,0.8928073348720686,0.416004218596406,0.5954247486608195
AutoGluon diagnostic: S2 only / Context only,regression,DO,S2 only,WeightedEnsemble_L3,raw,32,276,114,0.8756742006435729,1.1085983188647122,0.0995851641083567,0.4252138951794073,0.3455148783050843,-0.1234928294232017,1.1085983188647122,0.0995851641083567,0.3455148783050843
AutoGluon diagnostic: S2 only / Context only,regression,FCB,Context only,WeightedEnsemble_L3,log1p,107,276,114,1379.4529301466655,3115.21612526417,0.0294971984830814,0.4223323266138113,0.5112541255294488,-1027.854030420916,1.7203913685625032,0.2965107180517032,0.5112541255294488
AutoGluon main: S2 + Context,regression,FCB,S2 + Context,WeightedEnsemble_L2,log1p,139,276,114,1386.3316186149814,3121.7106801030427,0.0254464016241157,0.4658535419433166,0.5546775962999141,-1097.281099589822,1.6675106807476048,0.3390931946153512,0.5546775962999141
AutoGluon diagnostic: S2 only / Context only,regression,FCB,S2 only,WeightedEnsemble_L2,log1p,32,276,114,1509.3513062607635,3254.3255425737866,-0.059113292598409,0.3194996500733806,0.3475417644735006,-1163.1459680010212,1.857422489848012,0.1799801325513094,0.3475417644735006
AutoGluon diagnostic: S2 only / Context only,regression,SS,Context only,WeightedEnsemble_L2,log1p,107,276,114,18.950127753675545,59.38071008541,0.0522717598664274,0.2787478104715424,0.6628365261933594,-9.50188278236585,0.6878111161949708,0.3945361516586402,0.6628365261933594
AutoGluon main: S2 + Context,regression,SS,S2 + Context,WeightedEnsemble_L2,log1p,139,276,114,16.72409677568622,56.69138876419574,0.1361720728685547,0.4024523114617527,0.7089067095607178,-8.807900276154319,0.621866186118918,0.5050700657555114,0.7089067095607178
AutoGluon diagnostic: S2 only / Context only,regression,SS,S2 only,WeightedEnsemble_L2,log1p,32,276,114,18.945194122902148,59.9080726277832,0.0353633823947012,0.2281638444757274,0.6597212094538596,-7.72712337821845,0.7011562064093526,0.370813491985261,0.6597212094538596
AutoGluon diagnostic: S2 only / Context only,regression,TCB,Context only,WeightedEnsemble_L2,log1p,107,276,114,3965.049478893688,8246.388082006431,0.1093573645437366,0.4486824994177341,0.632319244846067,-2442.018757340193,1.4739824561691406,0.3786346200942815,0.632319244846067
AutoGluon main: S2 + Context,regression,TCB,S2 + Context,WeightedEnsemble_L2,log1p,139,276,114,3999.509885575308,8362.328232759008,0.0841373187590021,0.3938736521525435,0.6397383945799905,-2308.1703748766445,1.4618481537425465,0.3888230727700719,0.6397383945799905
AutoGluon diagnostic: S2 only / Context only,regression,TCB,S2 only,WeightedEnsemble_L3,log1p,32,276,114,4424.061996346192,8606.7358331261,0.0298187223646038,0.3345668750923052,0.4143284812041607,-2489.8206937624227,1.677240617158782,0.1954497659065401,0.4143284812041607
AutoGluon diagnostic: S2 only / Context only,regression,Turbidity,Context only,WeightedEnsemble_L3,log1p,107,276,114,25.11913119794832,57.59171369453303,0.1620354078629693,0.448745331786774,0.598527345046773,-12.272160876395484,0.8756653050897005,0.3261848036722711,0.598527345046773
AutoGluon main: S2 + Context,regression,Turbidity,S2 + Context,WeightedEnsemble_L2,log1p,139,276,114,22.677511581469087,53.61794254770708,0.2736834252370206,0.5726180762907738,0.7088266148090415,-12.852840424837998,0.7662070334648529,0.4841103864030737,0.7088266148090415
AutoGluon diagnostic: S2 only / Context only,regression,Turbidity,S2 only,WeightedEnsemble_L2,log1p,32,276,114,23.521790846161945,58.7483760847781,0.1280383234196332,0.4731409724273416,0.6978303045455906,-14.995767436432546,0.7952562920562741,0.4442509313735638,0.6978303045455906
