split,fold,task,target,feature_set,model,transform,n_features,n_train,n_test,original_n,original_mae,original_rmse,original_r2,original_pearson_r,original_spearman_r,original_bias,modelscale_mae,modelscale_rmse,modelscale_r2,modelscale_pearson_r,modelscale_spearman_r,modelscale_bias,accuracy,balanced_accuracy,macro_f1,experiment_group,experiment_family,validation_design,preset_or_model_config,station_temporal_available
temporal,,regression,DO,S2 only,DummyMedian,raw,32,276,114,114.0,0.9614035087719298,1.1904503054829971,-0.0382854125165936,,,-0.2285964912280698,0.9614035087719298,1.1904503054829971,-0.0382854125165936,,,-0.2285964912280698,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,DO,S2 only,Ridge,raw,32,276,114,114.0,0.8928716413247489,1.1277597053395216,0.0681900205453575,0.3245983531343999,0.3401998880326459,-0.210575196271353,0.8928716413247489,1.1277597053395216,0.0681900205453575,0.3245983531343999,0.3401998880326459,-0.210575196271353,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,DO,S2 only,ElasticNet,raw,32,276,114,114.0,0.87550942805292,1.1250796715600635,0.0726135070559472,0.3367047800300896,0.3674108557612806,-0.1299519726666511,0.87550942805292,1.1250796715600635,0.0726135070559472,0.3367047800300896,0.3674108557612806,-0.1299519726666511,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,DO,S2 only,RandomForest,raw,32,276,114,114.0,0.8218009527019213,1.054014585908655,0.1860692569915277,0.4747482551278652,0.5034981028817249,-0.2272980172754701,0.8218009527019213,1.054014585908655,0.1860692569915277,0.4747482551278652,0.5034981028817249,-0.2272980172754701,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,DO,S2 only,ExtraTrees,raw,32,276,114,114.0,0.8124279448621551,1.0508868032056204,0.1908927598379797,0.4686135037408196,0.4860056272747211,-0.1897940267335003,0.8124279448621551,1.0508868032056204,0.1908927598379797,0.4686135037408196,0.4860056272747211,-0.1897940267335003,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,DO,S2 only,XGBoost,raw,32,276,114,114.0,0.8690539970732573,1.0745152749782203,0.1540992731450403,0.4792965744712743,0.4710329107755349,-0.2626196635396857,0.8690539970732573,1.0745152749782203,0.1540992731450403,0.4792965744712743,0.4710329107755349,-0.2626196635396857,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,DO,S2 only,CatBoost,raw,32,276,114,114.0,0.846697871145188,1.055058231284611,0.1844566121253468,0.4767176532441399,0.4739820822071928,-0.238027846833436,0.846697871145188,1.055058231284611,0.1844566121253468,0.4767176532441399,0.4739820822071928,-0.238027846833436,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,DO,S2 only,Stacking_RidgeMeta,raw,32,276,114,114.0,0.8328412119014084,1.045986195304201,0.1984213957333737,0.4910737113299385,0.5124712000261236,-0.2070983319506218,0.8328412119014084,1.045986195304201,0.1984213957333737,0.4910737113299385,0.5124712000261236,-0.2070983319506218,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,BOD,S2 only,DummyMedian,raw,32,276,114,114.0,0.6333333333333332,0.9316086822492076,-0.1711550442330851,7.01408035995614e-17,,-0.3561403508771929,0.6333333333333332,0.9316086822492076,-0.1711550442330851,7.01408035995614e-17,,-0.3561403508771929,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,BOD,S2 only,Ridge,raw,32,276,114,114.0,0.5584002476829518,0.7762107914098831,0.186969774853155,0.4452067763229,0.4489740215947411,-0.0039483096320661,0.5584002476829518,0.7762107914098831,0.186969774853155,0.4452067763229,0.4489740215947411,-0.0039483096320661,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,BOD,S2 only,ElasticNet,raw,32,276,114,114.0,0.5605326720414807,0.7749190201495093,0.1896736155550916,0.4501340394921871,0.4415659725518286,0.0016367370373163,0.5605326720414807,0.7749190201495093,0.1896736155550916,0.4501340394921871,0.4415659725518286,0.0016367370373163,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
