target,feature_set,model,transform,is_dummy,n_test_sum,selection_metric_name,selection_rmse_mean,rank_selection_rmse,selection_r2_mean,rank_selection_r2,selection_spearman_r_mean,rank_selection_spearman,original_rmse_mean,original_rmse_std,original_mae_mean,original_r2_mean,original_pearson_r_mean,original_spearman_r_mean,original_bias_mean,modelscale_rmse_mean,modelscale_rmse_std,modelscale_r2_mean,modelscale_spearman_r_mean,rank_original_rmse,rank_modelscale_rmse
BOD,S2 only,DummyMedian,raw,True,114,original_rmse_mean,0.8924747991525072,1.0,-0.1486617959040092,1.0,,,0.8924747991525072,0.2713929843384259,0.6298245614035087,-0.1486617959040092,-2.6202673069309224e-16,,-0.3228070175438596,0.8924747991525072,0.2713929843384259,-0.1486617959040092,,1.0,1.0
BOD,S2 only,CatBoost,raw,False,114,original_rmse_mean,0.9108027227528996,2.0,-0.6221810306234911,3.0,0.4460571769721131,4.0,0.9108027227528996,0.1390634623344926,0.645649289525732,-0.6221810306234911,0.3816511499887813,0.4460571769721131,0.0707819501624763,0.9108027227528996,0.1390634623344926,-0.6221810306234911,0.4460571769721131,2.0,2.0
BOD,S2 only,XGBoost,raw,False,114,original_rmse_mean,0.9157238515600178,3.0,-0.7207559938636751,4.0,0.4514422914516642,2.0,0.9157238515600178,0.1690276157989977,0.6472683346062376,-0.7207559938636751,0.4013362967782772,0.4514422914516642,0.1286392354128653,0.9157238515600178,0.1690276157989977,-0.7207559938636751,0.4514422914516642,3.0,3.0
BOD,S2 only,Stacking_RidgeMeta,raw,False,114,original_rmse_mean,0.9160336262026342,4.0,-0.5311073233895183,2.0,0.4190667068338258,5.0,0.9160336262026342,0.118502688201431,0.6601593223689287,-0.5311073233895183,0.3812161661277232,0.4190667068338258,-0.0057049650592368,0.9160336262026342,0.118502688201431,-0.5311073233895183,0.4190667068338258,4.0,4.0
BOD,S2 only,RandomForest,raw,False,114,original_rmse_mean,0.9390781017438784,5.0,-0.8480014390623447,5.0,0.4925611113596572,1.0,0.9390781017438784,0.2012444401035576,0.6543735532967122,-0.8480014390623447,0.4083082463718223,0.4925611113596572,0.0708944003379374,0.9390781017438784,0.2012444401035576,-0.8480014390623447,0.4925611113596572,5.0,5.0
BOD,S2 only,Ridge,raw,False,114,original_rmse_mean,0.9613164413451412,6.0,-0.984296517764524,6.0,0.4505958867369333,3.0,0.9613164413451412,0.249118986332672,0.6852344439645491,-0.984296517764524,0.4256525363830691,0.4505958867369333,0.0337368219662424,0.9613164413451412,0.249118986332672,-0.984296517764524,0.4505958867369333,6.0,6.0
BOD,S2 only,ElasticNet,raw,False,114,original_rmse_mean,0.9736390831486708,7.0,-1.1210228407816196,7.0,0.4137328455340925,7.0,0.9736390831486708,0.2844475835506284,0.6997160058786555,-1.1210228407816196,0.4081505556401009,0.4137328455340925,0.078017701319882,0.9736390831486708,0.2844475835506284,-1.1210228407816196,0.4137328455340925,7.0,7.0
BOD,S2 only,ExtraTrees,raw,False,114,original_rmse_mean,1.022581591962341,8.0,-1.28724800319925,8.0,0.4171925346464799,6.0,1.022581591962341,0.2522003326613241,0.7112426900584795,-1.28724800319925,0.3243551202819467,0.4171925346464799,0.1077213868003343,1.022581591962341,0.2522003326613241,-1.28724800319925,0.4171925346464799,8.0,8.0
BOD,Context only,Ridge,raw,False,114,original_rmse_mean,0.7625096046668854,1.0,0.0748636275664442,1.0,0.3455598569808997,1.0,0.7625096046668854,0.1148545109642701,0.5837125447781798,0.0748636275664442,0.3510805773000834,0.3455598569808997,-0.139043060380129,1.0101165663684235,0.3611817374711123,-0.5225341960373922,0.3455598569808997,1.0,7.0
BOD,Context only,CatBoost,raw,False,114,original_rmse_mean,0.8553365886225556,2.0,-0.1380088324782884,2.0,0.1979383945820065,5.0,0.8553365886225556,0.1804053116972657,0.6228732832613878,-0.1380088324782884,0.1855222281161509,0.1979383945820065,-0.1489070583024088,0.8553365886225556,0.1804053116972657,-0.1380088324782884,0.1979383945820065,2.0,1.0
