split,fold,task,target,feature_set,model,transform,n_features,n_train,n_test,original_n,original_mae,original_rmse,original_r2,original_pearson_r,original_spearman_r,original_bias,modelscale_mae,modelscale_rmse,modelscale_r2,modelscale_pearson_r,modelscale_spearman_r,modelscale_bias,accuracy,balanced_accuracy,macro_f1,experiment_group,experiment_family,validation_design,preset_or_model_config,station_temporal_available
temporal,,classification,NH3_3class,Context only,Logistic,,106,276,114,,,,,,,,,,,,,,0.4473684210526316,0.4235958644365494,0.4250201799754851,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,classification,NH3_3class,S2 + Context,Logistic,,138,276,114,,,,,,,,,,,,,,0.4473684210526316,0.4199433156361024,0.4175670677625886,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,classification,NH3_3class,S2 + Context,ExtraTrees,,138,276,114,,,,,,,,,,,,,,0.4824561403508772,0.4352387795563717,0.3684614762713234,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,classification,NH3_3class,Context only,Stacking_LogisticMeta,,106,276,114,,,,,,,,,,,,,,0.4035087719298245,0.3860191875241174,0.3559318876220285,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,classification,NH3_3class,S2 + Context,Stacking_LogisticMeta,,138,276,114,,,,,,,,,,,,,,0.4035087719298245,0.3813287560044176,0.3479027615077959,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,classification,NH3_3class,Context only,ExtraTrees,,106,276,114,,,,,,,,,,,,,,0.4473684210526316,0.4068699852301305,0.3336886993603411,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,classification,NH3_3class,S2 only,ExtraTrees,,32,276,114,,,,,,,,,,,,,,0.3684210526315789,0.3477705480819129,0.3327900912646675,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,classification,NH3_3class,Context only,RandomForest,,106,276,114,,,,,,,,,,,,,,0.4473684210526316,0.4079078679493833,0.3286883414334394,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,classification,NH3_3class,S2 only,Logistic,,32,276,114,,,,,,,,,,,,,,0.3333333333333333,0.3324750841616435,0.3267394080737409,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,classification,NH3_3class,S2 + Context,RandomForest,,138,276,114,,,,,,,,,,,,,,0.4561403508771929,0.4082338695727383,0.3245014245014245,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,classification,NH3_3class,Context only,XGBoost,,106,276,114,,,,,,,,,,,,,,0.4385964912280701,0.3997777866485703,0.324284357617691,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
