split,fold,task,target,feature_set,model,transform,n_features,n_train,n_test,original_n,original_mae,original_rmse,original_r2,original_pearson_r,original_spearman_r,original_bias,modelscale_mae,modelscale_rmse,modelscale_r2,modelscale_pearson_r,modelscale_spearman_r,modelscale_bias,accuracy,balanced_accuracy,macro_f1,experiment_group,experiment_family,validation_design,preset_or_model_config,station_temporal_available,rank_metric
temporal,,regression,BOD,S2 + Context,Stacking_RidgeMeta,raw,138,276,114,114.0,0.5471578045663859,0.7699312459905285,0.2000713928553548,0.4740034791539511,0.4383244439728105,-0.0977287775719725,0.5471578045663859,0.7699312459905285,0.2000713928553548,0.4740034791539511,0.4383244439728105,-0.0977287775719725,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7699312459905285
temporal,,regression,BOD,S2 + Context,CatBoost,raw,138,276,114,114.0,0.5329703999126643,0.7713803851911889,0.1970573605769451,0.4823860886649786,0.4645812311610524,-0.0639412012621348,0.5329703999126643,0.7713803851911889,0.1970573605769451,0.4823860886649786,0.4645812311610524,-0.0639412012621348,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7713803851911889
temporal,,regression,BOD,S2 only,ElasticNet,raw,32,276,114,114.0,0.5605326720414807,0.7749190201495093,0.1896736155550916,0.4501340394921871,0.4415659725518286,0.0016367370373163,0.5605326720414807,0.7749190201495093,0.1896736155550916,0.4501340394921871,0.4415659725518286,0.0016367370373163,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7749190201495093
temporal,,regression,BOD,S2 only,Stacking_RidgeMeta,raw,32,276,114,114.0,0.5487795241955471,0.7754620256435456,0.1885375849997279,0.4370960205636388,0.4489172238474241,-0.0429947717943323,0.5487795241955471,0.7754620256435456,0.1885375849997279,0.4370960205636388,0.4489172238474241,-0.0429947717943323,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7754620256435456
temporal,,regression,BOD,S2 only,Ridge,raw,32,276,114,114.0,0.5584002476829518,0.7762107914098831,0.186969774853155,0.4452067763229,0.4489740215947411,-0.0039483096320661,0.5584002476829518,0.7762107914098831,0.186969774853155,0.4452067763229,0.4489740215947411,-0.0039483096320661,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7762107914098831
temporal,,regression,BOD,S2 only,CatBoost,raw,32,276,114,114.0,0.5365087464664199,0.7762569692835694,0.1868730353482977,0.4708752598917196,0.5296024808931218,0.0282328416069145,0.5365087464664199,0.7762569692835694,0.1868730353482977,0.4708752598917196,0.5296024808931218,0.0282328416069145,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7762569692835694
temporal,,regression,BOD,S2 + Context,Ridge,raw,138,276,114,114.0,0.5566322933334132,0.7776372566472708,0.183978770276103,0.4822984591073682,0.4834613757153147,-0.0839526535626828,0.5955574468324913,0.9064139947733596,-0.1086655255693516,0.3801787652367166,0.4834380832702841,-0.122877807061761,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7776372566472708
temporal,,regression,BOD,S2 + Context,RandomForest,raw,138,276,114,114.0,0.5380567141331238,0.7802825167229474,0.178417668986809,0.4506189238669554,0.4398092993669539,-0.0756500962849868,0.5380567141331238,0.7802825167229474,0.178417668986809,0.4506189238669554,0.4398092993669539,-0.0756500962849868,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7802825167229474
temporal,,regression,BOD,Context only,ElasticNet,raw,106,276,114,114.0,0.5779928294084704,0.7853195882120961,0.167776070963732,0.4868239213955473,0.3660563326652691,-0.1674113266599153,0.6514361693978743,1.0784815573045536,-0.569541430921723,0.3008048580805478,0.3663211283027059,-0.2408546666493191,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7853195882120961
temporal,,regression,BOD,S2 + Context,ElasticNet,raw,138,276,114,114.0,0.5958309741590846,0.7911395602725256,0.155395206779151,0.5206426466905935,0.4663165352699507,-0.006059226713766,0.6581515212804526,1.0277071063522711,-0.4252336177913223,0.3907829433020022,0.4662932775444637,-0.0683797738351341,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7911395602725256
temporal,,regression,BOD,S2 + Context,ExtraTrees,raw,138,276,114,114.0,0.550688387635756,0.7926917771056224,0.1520777241384577,0.4343292681779443,0.4329732847791623,-0.108857142857143,0.550688387635756,0.7926917771056224,0.1520777241384577,0.4343292681779443,0.4329732847791623,-0.108857142857143,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.7926917771056224
